StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q1_1,Q1_2,Q1_3,Q1_4
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you have any feedback or thoughts on today's workshop?,"Thinking back to today's workshop, please rate your agreement with the following statements. - What we were doing was interesting.","Thinking back to today's workshop, please rate your agreement with the following statements. - What we were doing was frustrating.","Thinking back to today's workshop, please rate your agreement with the following statements. - What we were doing was enjoyable.","Thinking back to today's workshop, please rate your agreement with the following statements. - What we were doing was relevant to my teaching."
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID1_4""}"
2020-06-26 14:36:00,2020-06-26 14:37:17,IP Address,73.121.108.217,100,77,True,2020-06-26 14:37:18,R_D1aIpaVMGV9T5cZ,,,,,35.6884002685546875,-84.07689666748046875,email,EN,"It was good to be able to hash out more of what we are trying to accomplish. I think it was a good ending to the week.  ",Almost always,Seldom,Almost always,Almost always
2020-06-26 14:52:00,2020-06-26 14:52:40,IP Address,73.113.35.34,100,39,True,2020-06-26 14:52:40,R_10AfsSEhvBT3D36,,,,,35.933502197265625,-84.148101806640625,email,EN,wonderful day from beginning to end,Almost always,Seldom,Almost always,Almost always
2020-06-26 14:59:40,2020-06-26 15:00:29,IP Address,67.187.116.167,100,48,True,2020-06-26 15:00:29,R_30ji7ycK5c4Wa8c,,,,,35.9243011474609375,-83.99649810791015625,email,EN,Thought it went well,Almost always,Seldom,Almost always,Almost always
2020-06-26 16:18:35,2020-06-26 16:19:12,IP Address,73.108.236.163,100,36,True,2020-06-26 16:19:12,R_sbyHzeib3ovlq6d,,,,,36.01300048828125,-84.26239776611328125,email,EN,,Occasionally,Occasionally,To a considerable degree,Occasionally
2020-06-26 16:44:24,2020-06-26 16:44:45,IP Address,71.83.65.195,100,21,True,2020-06-26 16:44:46,R_25LyxvIBWFDpJ33,,,,,35.6598052978515625,-83.98670196533203125,email,EN,,Almost always,Seldom,Almost always,Almost always
2020-06-26 17:30:58,2020-06-26 17:31:44,IP Address,162.72.55.194,100,46,True,2020-06-26 17:31:45,R_3en4hmw22cYkhGL,,,,,37.751007080078125,-97.82199859619140625,email,EN,,To a considerable degree,Occasionally,To a considerable degree,To a considerable degree
